,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
278,SUI,2018,42.0,FT,11,44,14.439881577690766,26.78476527900797,10917,0.28295319226893834
279,SWE,2013,30.0,CT,2,8,10.542242203842639,21.660649819494584,8914,0.03758133273502356
280,SWE,2013,45.0,CT,2,9,11.5929583512237,28.100607111882045,3939,0.06448337141406449
281,SWE,2013,90.0,CT,2,8,10.330315021341939,18.08237526509655,8206,0.08640019497928345
282,SWE,2013,90.0,CT,2,9,10.873942921349094,19.951967485682616,5962,0.08101308285810131
283,SWE,2013,90.0,CT,3,9,11.719809768455871,23.39688041594454,13770,0.25199709513435004
284,SWE,2014,30.0,CT,2,8,8.511309007802033,21.818181818181817,14323,0.0421699364658242
285,SWE,2014,45.0,CT,2,9,9.59033862183282,22.010869565217394,3927,0.05984211866564808
286,SWE,2014,90.0,CT,2,6,11.253516723976244,21.21390689451974,12652,0.2987669933607335
287,SWE,2014,90.0,CT,2,8,9.952999723527785,17.86994650046881,6001,0.07565405765705716
288,SWE,2014,90.0,CT,2,9,10.28375547514759,18.34342976844251,7672,0.07885818561001043
289,SWE,2015,30.0,CT,2,9,9.375813872732008,24.280575539568346,14036,0.04588201766885153
290,SWE,2015,45.0,CT,3,10,9.783790312839717,21.62017883357801,4191,0.06346933905989025
291,SWE,2015,90.0,CT,1,1,9.797695762953868,18.057181073399097,5634,0.09123180688675896
292,SWE,2015,90.0,CT,2,6,9.66414157302667,17.643214985841865,6312,0.07287705956907478
293,SWE,2015,90.0,CT,8,32,10.722973334827728,22.332506203473944,12618,0.26375019812965605
